match_id,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_hit_woodwork,away_hit_woodwork,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box
12970166,4,16,3,6,0,1,1,4,0,6,4,11,0,5
12970187,11,17,4,10,0,0,2,5,5,2,4,13,7,4
12375376,35,5,6,3,0,1,14,2,15,0,18,3,17,2
12514057,5,12,1,7,0,1,2,4,2,1,3,12,2,0
12117282,13,9,5,3,0,1,5,2,3,4,4,6,9,3
12117278,15,12,8,7,1,0,4,4,3,1,9,8,6,4
12530874,13,9,5,3,0,0,4,3,4,3,9,6,4,3
12530880,20,8,6,2,0,0,9,5,5,1,14,7,6,1
12904468,12,6,5,2,0,0,6,3,1,1,8,4,4,2
12904463,12,9,5,5,0,0,3,2,4,2,7,5,5,4
12773665,10,13,7,5,0,0,3,4,0,4,7,7,3,6
12773646,12,8,3,1,0,0,4,4,5,3,9,2,3,6
12773642,12,13,6,3,0,0,4,8,2,2,6,10,6,3
12791854,9,17,7,4,0,0,1,7,1,6,6,10,3,7
12773671,12,14,6,3,0,1,2,9,4,2,6,9,6,5
12791853,9,19,4,5,0,0,4,5,1,9,5,9,4,10
12773663,17,7,7,1,1,1,8,6,2,0,12,6,5,1
12773652,16,18,3,4,1,1,8,6,5,8,10,11,6,7
12924425,23,16,10,5,0,0,8,3,5,8,15,8,8,8
12924407,22,15,8,7,1,1,7,7,7,1,12,11,10,4
12924421,27,6,10,2,0,0,10,3,7,1,14,4,13,2
12924416,4,17,2,6,1,0,2,5,0,6,4,12,0,5
12924418,21,15,3,2,1,0,12,8,6,5,16,9,5,6
12924429,13,14,4,10,0,0,4,3,5,1,7,11,6,3
12924410,6,22,4,8,0,0,1,6,1,8,3,14,3,8
12924422,20,12,9,3,0,1,4,5,7,4,15,5,5,7
12924424,12,27,4,14,0,1,3,4,5,9,8,21,4,6
12924420,14,15,4,9,1,0,6,5,4,1,7,12,7,3
11937364,14,17,3,5,1,0,10,8,1,4,9,8,5,9
11937363,14,15,5,3,0,0,5,5,4,7,10,6,4,9
13010885,22,6,7,2,1,0,9,4,6,0,12,5,10,1
13010890,19,7,2,0,0,0,10,5,7,2,11,4,8,3
13010881,15,11,8,3,0,0,4,3,3,5,7,8,8,3
13010887,11,11,6,6,0,0,4,3,1,2,8,8,3,3
12467664,8,10,4,5,0,0,2,3,2,2,8,5,0,5
12527741,11,9,5,4,0,0,4,5,2,0,7,5,4,4
12527866,11,11,3,2,0,0,6,7,2,2,5,5,6,6
12527868,15,11,7,3,0,0,5,3,3,5,11,7,4,4
12527870,18,13,9,3,1,2,3,7,6,3,10,5,8,8
12527872,12,6,2,2,1,0,3,3,7,1,9,3,3,3
12527873,10,5,3,1,0,0,5,2,2,2,6,4,4,1
12451237,13,12,3,3,0,1,4,8,6,1,7,7,6,5
12451239,17,12,6,4,0,0,6,4,5,4,11,8,6,4
12451236,10,16,1,7,0,0,4,6,5,3,3,14,7,2
12451241,6,16,2,6,0,1,0,6,4,4,4,8,2,8
12451240,10,6,4,4,0,0,4,1,2,1,5,2,5,4
12451242,11,7,5,4,0,0,2,1,4,2,9,5,2,2
12451244,4,16,1,1,0,1,2,9,1,6,1,10,3,6
12451245,14,9,4,4,0,1,6,3,4,2,11,6,3,3
12615585,18,9,10,2,0,1,7,4,1,3,13,3,5,6
12146528,16,9,5,3,0,0,8,4,3,2,8,4,8,5
12146523,13,13,2,4,0,1,7,7,4,2,6,9,7,4
12146524,10,10,4,1,0,0,4,9,2,0,9,5,1,5
12146527,19,10,4,4,0,0,10,5,5,1,8,4,11,6
12146520,23,14,10,3,0,1,9,8,4,3,18,8,5,6
12988222,15,8,7,2,0,0,4,4,4,2,10,5,5,3
12146521,9,7,4,3,0,0,5,2,0,2,5,4,4,3
12596617,14,6,5,2,1,0,7,2,2,2,5,1,9,5
12463967,13,22,4,6,0,0,6,7,3,9,9,13,4,9
12463970,6,11,2,7,0,0,2,3,2,1,4,6,2,5
13012918,26,4,12,3,1,0,6,0,8,1,18,2,8,2
13036742,7,11,2,1,0,1,4,5,1,5,3,4,4,7
13031655,12,14,4,3,0,1,7,6,1,5,6,9,6,5
13011717,16,14,5,2,0,0,6,8,5,4,10,7,6,7
12407827,18,8,9,3,1,0,4,0,5,5,12,5,6,3
12656652,21,11,5,5,0,0,9,3,7,3,15,7,6,4
12902951,12,9,5,3,0,0,5,2,2,4,10,7,2,2
13036931,15,12,5,6,0,0,2,3,8,3,12,6,3,6
12769312,16,2,9,1,0,0,6,0,1,1,9,1,7,1
12902952,18,11,5,3,0,0,4,3,9,5,14,4,4,7
12991503,15,13,7,3,2,1,7,7,1,3,12,8,3,5
12014195,5,17,1,8,0,0,4,6,0,3,0,11,5,6
13016164,17,7,5,4,0,0,4,1,8,2,14,4,3,3
13016167,25,7,7,0,0,0,6,3,12,4,9,0,16,7
12004432,13,10,3,3,1,0,6,6,4,1,8,7,5,3
11912257,21,11,7,4,0,0,4,2,10,5,17,8,4,3
12831481,8,6,6,2,0,1,2,4,0,0,6,4,2,2
12831498,11,18,2,4,0,0,6,8,3,6,6,7,5,11
12831500,18,4,3,2,0,0,12,2,3,0,8,3,10,1
12489714,8,18,2,6,0,2,5,7,1,5,2,13,6,5
12489713,8,28,4,7,0,0,2,8,2,13,5,14,3,14
11907445,19,22,5,7,0,0,10,8,4,7,12,9,7,13
11907446,14,9,6,1,0,0,4,5,4,3,8,5,6,4
12440987,9,23,1,10,1,1,6,5,2,8,6,14,3,9
12662005,13,14,3,2,0,1,9,8,1,4,9,8,4,6
12662007,13,6,7,2,0,0,4,3,2,1,5,3,8,3
12662008,5,10,1,4,0,0,3,6,1,0,2,3,3,7
12453112,9,13,5,6,0,1,2,4,2,3,4,9,5,4
12504046,14,16,3,3,0,1,8,8,3,5,5,10,9,6
12503884,11,23,3,9,0,0,4,6,4,8,6,19,5,4
13037267,10,8,5,3,0,0,2,4,3,1,7,4,3,4
12503862,8,11,6,6,0,0,1,4,1,1,5,10,3,1
12503971,35,6,13,4,0,0,13,0,9,2,24,2,11,4
12503855,10,9,2,5,0,0,4,2,4,2,5,7,5,2
12680611,17,15,8,7,0,0,6,2,3,6,11,9,6,6
12503937,7,14,2,6,0,0,3,4,2,4,5,11,2,3
12503820,12,8,5,4,0,0,7,3,0,1,8,4,4,4
12065761,11,10,5,4,0,0,6,4,0,2,6,3,5,7
12065762,18,14,5,5,1,0,5,8,7,1,5,9,13,5
12065760,17,4,6,1,0,0,10,2,1,1,10,2,7,2
12065773,6,14,2,6,1,0,3,6,0,2,3,6,3,8
12065763,11,8,4,3,0,1,5,3,2,1,8,7,3,1
12065767,19,13,8,4,0,0,7,6,4,3,13,8,6,5
12735448,21,3,6,1,1,0,7,2,8,0,9,0,12,3
12610363,7,12,3,2,0,1,3,7,1,3,6,8,1,4
12940698,14,11,2,6,1,0,8,4,4,1,10,6,4,5
12903507,7,17,3,7,0,0,2,6,2,4,5,15,2,2
12868606,5,12,1,3,1,0,3,5,0,4,3,6,2,6
12753012,15,10,5,5,0,0,5,3,5,2,9,6,6,4
12753024,14,15,7,7,0,0,5,2,2,6,6,10,8,5
12753036,17,16,12,8,0,0,2,4,3,4,10,7,7,9
13019043,9,17,6,9,0,0,2,4,1,4,6,10,3,7
12425088,11,10,5,2,0,0,2,6,4,2,9,6,2,4
13008779,16,10,1,2,0,0,11,7,4,1,9,5,7,5
13019046,11,15,3,5,0,0,6,7,2,3,6,8,5,7
13029521,17,16,7,3,1,0,4,8,5,5,8,8,9,8
13041742,4,9,4,0,0,0,0,6,0,3,3,5,1,4
12497319,5,13,2,4,0,1,1,5,2,3,2,7,3,6
12497311,8,21,2,14,1,0,4,4,1,3,4,10,4,11
12497305,13,5,4,2,1,0,6,0,2,3,10,2,3,3
11989123,2,16,1,3,0,0,1,7,0,6,2,5,0,11
11989126,9,6,4,2,0,0,4,3,1,1,5,4,4,2
12651004,12,6,0,3,0,0,6,2,6,1,3,4,9,2
12598355,5,16,2,9,0,0,2,4,0,3,4,9,1,7
12085469,2,11,1,4,0,0,1,6,0,1,0,8,2,3
12963291,13,12,9,3,0,1,2,4,2,4,9,10,4,2
13023452,11,11,5,5,0,0,3,2,3,4,6,5,5,6
12448840,18,9,3,1,0,1,10,5,5,2,9,7,9,2
12518416,15,4,5,1,0,1,8,2,2,1,6,4,9,0
12522419,22,14,6,5,1,0,9,6,7,3,16,7,6,7
13019039,10,14,4,7,0,0,4,6,2,1,5,11,5,3
12923109,16,4,5,1,0,0,7,3,4,0,11,2,5,2
12923104,9,17,3,5,0,1,5,6,1,6,7,13,2,4
12923103,15,11,4,5,0,1,5,3,6,3,11,5,4,6
12923107,16,15,4,11,0,0,8,3,4,1,9,13,7,2
12923108,10,10,3,4,0,1,4,4,3,2,8,6,2,4
12923105,15,9,5,4,0,0,6,5,4,0,8,2,7,7
12473120,14,8,7,3,1,0,3,3,3,1,10,6,4,2
12473122,11,8,3,4,0,0,5,2,3,2,7,5,4,3
12473125,11,6,4,3,0,0,4,2,3,1,8,2,3,4
12246985,13,6,5,2,1,0,5,2,2,2,9,3,4,3
12199061,10,14,4,6,0,0,3,4,3,4,7,7,3,7
12767356,13,8,4,1,0,0,6,5,3,2,6,4,7,4
12767360,3,10,1,6,0,0,2,4,0,0,1,7,2,3
12767375,14,16,5,8,1,0,4,2,4,6,6,6,8,10
12767362,15,17,6,4,0,1,3,8,6,4,9,10,6,7
12767354,19,25,7,6,0,0,9,6,3,13,9,9,10,16
13014313,15,5,6,1,1,0,8,1,1,3,6,1,9,4
13014305,17,8,7,3,0,1,5,2,5,3,7,1,10,7
13023005,11,15,5,6,1,2,6,7,0,2,8,10,3,5
13006575,20,6,6,5,1,0,9,1,5,0,13,5,7,1
13005422,3,9,1,2,0,0,0,5,2,2,2,4,1,5
13005420,8,27,2,6,1,0,4,12,2,9,5,18,3,9
