match_id,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_goals_prevented,away_goals_prevented,home_high_claims,away_high_claims,home_big_saves,away_big_saves,home_punches,away_punches
12753027,4,4,11,11,,,,,,,,
12753031,3,2,7,7,,,,,,,1,1
12753030,1,1,7,10,,,,,,,,
13008779,2,1,8,18,,,1,1,,,,
13019046,5,2,9,8,,,,,,,1,1
13029524,5,8,10,10,,,,,,,,
13029522,1,6,6,10,,,,,,,,
13036833,1,2,5,4,,,,,,,,
12981459,3,3,7,13,,,,,,,,
13023452,4,1,5,1,,,,,,,,
12765385,1,4,6,4,,,,,,,,
12522419,4,3,5,17,,,,,1,2,,
12522418,1,5,6,15,,,,,,,,
12923103,4,4,4,9,,,,,,,,
12923107,5,3,3,11,,,,,,,,
12923108,4,2,6,10,,,,,,,1,3
12923105,3,5,5,11,,,,,,,,
12923106,2,2,11,7,,,,,,,,
12473120,4,5,7,11,,,3,1,,,,
12473122,3,3,5,14,,,1,1,,,,
12473125,3,3,4,9,,,,,,,,
12767356,1,4,7,8,,,,,,,,
12767360,5,1,10,3,,,,,,,,
12767375,4,4,7,1,,,,,,,,
12767362,3,4,10,6,,,,,,,,
12767354,5,6,9,10,,,,,,,,
12767369,2,1,2,2,,,,,,,,
12767377,4,2,9,3,,,,,,,,
13014313,1,3,3,8,,,,,,,,
13014305,3,5,3,12,,,,,,,,
13014306,3,2,2,12,,,1,1,,,,
13014308,2,2,5,9,,,,,,,,
13005422,,,11,3,,,,,,,,
13005420,5,1,16,5,,,,,,,,
13006576,2,2,3,6,,,1,1,,,,
13005427,1,1,16,4,,,,,,,,
13045718,2,8,5,8,,,,,,,,
13009004,1,7,0,26,,,,,,,,
13006577,1,4,2,12,,,,,,,,
