match_id,home_accurate_passes,away_accurate_passes,home_final_third_entries,away_final_third_entries,home_long_balls,away_long_balls,home_crosses,away_crosses,home_throw-ins,away_throw-ins,home_final_third_phase,away_final_third_phase
12439860,266,597,47,78,34/69 (49%),29/55 (53%),7/17 (41%),5/12 (42%),18,20,60/90 (67%),98/153 (64%)
12439861,414,272,58,63,45/80 (56%),17/50 (34%),2/8 (25%),6/26 (23%),17,19,69/114 (61%),76/120 (63%)
12439858,325,251,59,53,27/55 (49%),29/71 (41%),5/25 (20%),4/15 (27%),23,23,75/119 (63%),64/109 (59%)
12662014,504,134,75,50,22/42 (52%),20/71 (28%),9/26 (35%),1/12 (8%),22,27,144/194 (74%),29/72 (40%)
12662012,115,408,48,70,15/67 (22%),22/56 (39%),7/14 (50%),4/15 (27%),25,38,40/77 (52%),67/119 (56%)
13022369,425,540,70,65,27/83 (33%),30/83 (36%),2/22 (9%),2/12 (17%),24,34,80/131 (61%),54/97 (56%)
13008825,401,219,70,39,22/40 (55%),16/63 (25%),5/34 (15%),3/6 (50%),29,15,156/195 (80%),34/68 (50%)
12453008,302,312,75,53,30/76 (39%),30/48 (63%),4/19 (21%),3/14 (21%),19,16,101/161 (63%),80/118 (68%)
12453110,468,204,67,44,29/64 (45%),14/37 (38%),9/29 (31%),3/11 (27%),20,22,128/170 (75%),54/85 (64%)
12453112,302,364,49,68,24/64 (38%),24/59 (41%),3/26 (12%),7/23 (30%),19,13,78/114 (68%),90/134 (67%)
12065761,443,297,,,35/61 (57%),30/48 (62%),6/14 (42%),5/9 (55%),17,26,50/68 (74%),29/45 (64%)
12065762,317,375,,,21/48 (43%),28/49 (57%),6/14 (42%),5/8 (62%),24,15,32/48 (67%),36/60 (60%)
12065760,338,296,,,19/35 (54%),34/53 (64%),2/15 (13%),2/9 (22%),20,21,34/52 (65%),34/50 (68%)
12776232,341,343,39,43,21/47 (45%),24/53 (45%),3/27 (11%),4/15 (27%),16,15,63/92 (68%),60/93 (65%)
12773388,516,353,53,63,25/37 (68%),37/57 (65%),2/19 (11%),5/29 (17%),16,19,101/129 (78%),91/119 (76%)
12773385,490,383,78,66,37/63 (59%),31/63 (49%),2/12 (17%),5/17 (29%),16,12,98/127 (77%),73/107 (68%)
12497536,314,372,67,40,35/61 (57%),19/48 (40%),3/18 (17%),3/15 (20%),14,17,91/129 (71%),49/75 (65%)
12765324,138,393,36,74,22/46 (48%),19/37 (51%),3/7 (43%),7/34 (21%),9,18,36/59 (61%),152/188 (81%)
12765325,242,159,59,49,24/56 (43%),25/58 (43%),3/10 (30%),6/18 (33%),21,20,48/88 (55%),42/78 (54%)
12448681,265,153,47,53,29/71 (41%),20/60 (33%),6/14 (43%),5/22 (23%),27,27,43/78 (55%),48/95 (51%)
12448692,221,461,47,53,24/56 (43%),20/49 (41%),7/23 (30%),8/22 (36%),21,12,70/107 (65%),108/134 (81%)
13011670,421,254,68,50,32/71 (45%),21/57 (37%),2/11 (18%),2/14 (14%),19,25,105/148 (71%),67/104 (64%)
12448762,455,167,92,48,27/50 (54%),29/83 (35%),8/32 (25%),0/5 (0%),39,16,107/167 (64%),35/67 (52%)
12448764,311,316,81,80,33/90 (37%),39/105 (37%),5/23 (22%),7/26 (27%),17,18,101/165 (61%),76/131 (58%)
12448767,218,478,38,63,30/64 (47%),26/53 (49%),2/11 (18%),5/19 (26%),15,34,47/77 (61%),111/158 (70%)
12449217,240,292,39,54,23/54 (43%),15/46 (33%),8/32 (25%),10/26 (38%),16,24,67/88 (76%),109/149 (73%)
12449215,267,235,53,54,28/68 (41%),22/55 (40%),3/12 (25%),7/29 (24%),26,26,58/102 (57%),61/114 (54%)
11973094,246,222,,,32/67 (47%),25/49 (51%),9/22 (40%),2/6 (33%),33,18,40/68 (59%),32/56 (57%)
11973085,246,262,,,34/70 (48%),30/64 (46%),4/18 (22%),4/18 (22%),28,21,36/58 (62%),35/69 (51%)
11973088,244,303,,,27/54 (50%),30/61 (49%),6/20 (30%),5/13 (38%),21,28,45/62 (73%),32/60 (53%)
11973103,301,203,,,24/48 (50%),24/54 (44%),13/39 (33%),3/9 (33%),24,17,48/65 (74%),29/47 (62%)
11973090,330,302,,,30/54 (55%),32/57 (56%),1/10 (10%),5/15 (33%),27,23,32/54 (59%),20/37 (54%)
11973091,229,313,,,23/49 (46%),37/66 (56%),7/15 (46%),2/6 (33%),34,25,39/63 (62%),19/37 (51%)
11973086,232,162,,,41/67 (61%),36/68 (52%),12/26 (46%),0/8 (0%),23,12,46/70 (66%),34/63 (54%)
11973093,228,126,,,27/42 (64%),15/25 (60%),2/8 (25%),4/17 (23%),14,29,33/47 (70%),30/41 (73%)
11973087,394,123,,,30/48 (62%),19/45 (42%),5/24 (20%),3/8 (37%),23,18,68/80 (85%),17/36 (47%)
11973092,99,242,,,22/46 (47%),35/55 (63%),5/12 (41%),7/18 (38%),17,22,23/38 (61%),49/65 (75%)
12586168,301,383,,,16/31 (51%),16/32 (50%),3/15 (20%),2/7 (28%),17,19,39/53 (74%),22/38 (58%)
12586173,610,148,,,14/26 (53%),15/36 (41%),6/19 (31%),2/4 (50%),21,14,62/71 (87%),11/25 (44%)
12753021,323,216,76,59,38/74 (51%),31/68 (46%),4/23 (17%),2/7 (29%),24,19,91/135 (67%),42/88 (48%)
12753032,260,144,78,50,34/58 (59%),27/76 (36%),10/31 (32%),0/8 (0%),36,23,71/116 (61%),24/63 (38%)
12753017,227,297,48,55,20/47 (43%),32/67 (48%),11/31 (35%),3/17 (18%),31,15,53/87 (61%),59/89 (66%)
12753012,294,158,67,52,36/72 (50%),27/74 (36%),5/26 (19%),2/13 (15%),32,25,80/134 (60%),49/81 (60%)
13019034,255,222,,,28/48 (58%),26/59 (44%),7/22 (31%),5/18 (27%),45,27,40/60 (67%),31/56 (55%)
13019043,292,398,,,17/35 (48%),18/40 (45%),2/9 (22%),4/17 (23%),16,28,32/49 (65%),45/65 (69%)
12425088,501,363,,,23/41 (56%),31/53 (58%),3/9 (33%),4/12 (33%),17,14,27/42 (64%),44/60 (73%)
13029521,269,267,,,19/43 (44%),19/32 (59%),2/14 (14%),3/10 (30%),20,13,37/54 (69%),22/31 (71%)
13041742,374,380,,,28/55 (50%),35/57 (61%),0/5 (0%),1/8 (12%),15,22,27/50 (54%),26/53 (49%)
12447865,209,253,,,34/52 (65%),35/55 (63%),3/10 (30%),9/18 (50%),11,18,28/40 (70%),46/62 (74%)
12447858,338,283,,,29/51 (56%),29/47 (61%),7/13 (53%),4/11 (36%),23,22,31/51 (61%),28/44 (64%)
12497309,317,387,,,19/38 (50%),35/50 (70%),3/19 (15%),5/16 (31%),16,18,35/47 (74%),32/51 (63%)
12497312,323,326,,,26/44 (59%),26/41 (63%),0/6 (0%),9/30 (30%),16,21,27/42 (64%),39/49 (80%)
12497319,206,418,,,21/48 (43%),27/48 (56%),4/6 (66%),10/25 (40%),21,28,19/34 (56%),64/88 (73%)
12497311,295,329,,,24/44 (54%),21/37 (56%),3/9 (33%),2/15 (13%),19,14,29/39 (74%),50/61 (82%)
12497305,397,268,,,19/32 (59%),24/45 (53%),9/21 (42%),4/13 (30%),15,29,34/43 (79%),29/42 (69%)
12451610,165,420,,,30/59 (50%),26/51 (50%),8/23 (34%),7/19 (36%),27,31,29/46 (63%),50/74 (68%)
12442027,528,425,,,26/47 (55%),18/33 (54%),6/21 (28%),3/13 (23%),12,14,31/44 (70%),37/50 (74%)
12463379,526,234,,,30/54 (55%),33/59 (55%),9/20 (45%),4/10 (40%),29,22,61/82 (74%),20/38 (53%)
11990387,303,347,,,24/49 (48%),27/49 (55%),6/17 (35%),2/12 (16%),18,20,27/42 (64%),35/58 (60%)
13008765,407,104,,,28/42 (66%),12/40 (30%),7/37 (18%),2/5 (40%),33,20,73/105 (70%),10/32 (31%)
11989125,545,249,,,31/58 (53%),27/53 (50%),9/14 (64%),4/8 (50%),13,15,46/62 (74%),30/42 (71%)
11989123,138,293,,,30/53 (56%),17/34 (50%),1/8 (12%),7/18 (38%),18,25,19/30 (63%),34/51 (67%)
11989126,404,296,,,21/40 (52%),37/53 (69%),6/10 (60%),3/14 (21%),19,19,51/64 (80%),26/40 (65%)
12525926,324,377,,,26/51 (50%),38/64 (59%),4/17 (23%),6/26 (23%),20,23,24/40 (60%),47/69 (68%)
12525929,487,269,,,17/32 (53%),33/54 (61%),8/22 (36%),4/12 (33%),28,15,45/65 (69%),21/36 (58%)
12525932,474,242,,,28/48 (58%),26/52 (50%),4/19 (21%),4/16 (25%),32,17,46/72 (64%),27/48 (56%)
12868396,264,174,,,45/71 (63%),26/68 (38%),6/9 (66%),4/8 (50%),28,24,31/53 (58%),18/46 (39%)
12650996,177,292,,,29/49 (59%),16/36 (44%),5/18 (27%),5/16 (31%),13,27,29/52 (56%),32/44 (73%)
12651004,423,303,,,12/34 (35%),11/31 (35%),4/16 (25%),2/9 (22%),18,16,42/66 (64%),23/36 (64%)
12598357,271,312,,,19/38 (50%),27/46 (58%),2/14 (14%),7/18 (38%),29,32,,
