match_id,home_ball_possession,away_ball_possession,home_big_chances,away_big_chances,home_total_shots,away_total_shots,home_goalkeeper_saves,away_goalkeeper_saves,home_corner_kicks,away_corner_kicks,home_fouls,away_fouls,home_passes,away_passes,home_tackles,away_tackles,home_free_kicks,away_free_kicks,home_yellow_cards,away_yellow_cards,home_expected_goals,away_expected_goals,home_red_cards,away_red_cards
12940061,,,,,,,,,,,,,,,,,,,2,4,,,0,0
12643028,,,,,,,,,,,,,,,,,,,0,2,,,0,0
12643022,,,,,,,,,,,,,,,,,,,1,4,,,0,0
12643068,,,,,,,,,,,,,,,,,,,2,3,,,0,0
12643023,,,,,,,,,,,,,,,,,,,0,2,,,0,0
12643074,,,,,,,,,,,,,,,,,,,4,2,,,1,1
12643021,,,,,,,,,,,,,,,,,,,1,1,,,0,0
12930484,,,,,,,,,,,,,,,,,,,3,4,,,0,0
12523141,,,,,,,,,,,,,,,,,,,2,1,,,0,0
12868396,56%,44%,,,12,14,4,2,4,2,7,25,327,252,3,3,3,2,2,5,1.30,1.72,0,0
12650996,41%,59%,,,16,21,7,4,8,10,16,8,249,352,2,6,4,6,1,2,1.71,1.29,0,0
12651004,58%,42%,,,12,6,2,0,4,3,8,13,493,367,2,2,6,0,1,1,0.65,0.88,0,0
12755493,,,,,,,,,,,,,,,,,,,3,2,,,0,0
12545905,,,,,,,,,,,,,,,,,,,2,1,,,0,0
12545901,,,,,,,,,,,,,,,,,,,1,1,,,0,0
12545545,,,,,,,,,,,,,,,,,,,7,4,,,0,0
12545550,,,,,,,,,,,,,,,,,,,3,1,,,0,0
12545559,,,,,,,,,,,,,,,,,,,4,2,,,0,0
12545209,,,,,,,,,,,,,,,,,,,1,3,,,0,0
12545207,,,,,,,,,,,,,,,,,,,2,4,,,0,0
12545203,,,,,,,,,,,,,,,,,,,3,6,,,0,1
12545202,,,,,,,,,,,,,,,,,,,3,1,,,0,0
12545210,,,,,,,,,,,,,,,,,,,4,3,,,0,0
12545205,,,,,,,,,,,,,,,,,,,3,1,,,0,0
12545206,,,,,,,,,,,,,,,,,,,2,2,,,0,0
12598357,45%,55%,,,16,14,1,9,4,4,11,5,351,396,2,2,1,4,2,2,1.94,1.94,0,0
12598360,53%,47%,,,10,21,5,4,1,8,9,10,348,408,9,2,3,3,1,2,1.15,2.83,0,0
12598355,59%,41%,,,5,16,6,1,3,1,15,21,485,323,1,9,2,1,3,6,0.34,2.15,0,0
12177173,49%,51%,,,13,8,1,1,8,4,12,10,358,387,2,0,4,3,1,2,1.06,0.98,0,0
12177177,63%,37%,,,14,11,4,4,4,5,13,15,416,250,4,4,4,1,2,3,1.62,2.40,0,1
12085473,60%,40%,,,25,7,2,5,10,1,13,7,436,220,2,5,1,2,1,2,5.15,0.73,0,2
12085469,35%,65%,,,2,11,2,0,0,6,19,12,310,671,3,1,1,3,3,0,0.06,0.84,0,0
12444644,59%,41%,,,10,9,1,4,6,4,13,12,579,343,3,5,3,2,3,0,0.40,0.53,0,0
12444645,49%,51%,,,14,12,3,0,5,3,14,14,355,387,4,9,4,4,4,4,0.91,2.11,1,0
12444663,55%,45%,,,18,8,1,3,6,0,14,15,428,337,2,0,6,1,4,3,2.48,0.85,0,0
12963363,42%,58%,,,7,9,2,4,3,7,16,18,276,442,3,2,4,2,1,3,0.34,1.78,0,0
12963291,34%,66%,,,13,12,1,4,7,6,8,3,225,506,2,3,1,3,1,1,2.69,2.07,0,0
12653626,,,,,,,,,,,,,,,,,,,1,2,,,0,0
12590279,47%,53%,,,8,17,2,2,4,7,16,11,418,455,3,2,2,5,2,1,1.10,1.38,0,0
12590273,50%,50%,,,9,21,5,1,2,9,8,9,347,391,3,1,4,3,0,1,1.03,2.45,0,0
12531981,28%,72%,,,4,20,8,2,2,6,13,9,222,615,3,1,2,1,2,1,0.22,1.74,0,0
12531969,53%,47%,,,21,8,1,8,3,2,10,19,362,371,7,8,1,2,3,4,1.91,1.28,0,0
12969196,39%,61%,,,11,12,3,2,0,4,25,14,348,442,3,4,1,3,3,3,1.36,1.69,0,0
12472158,30%,70%,,,6,9,2,2,5,4,15,14,235,554,4,4,4,3,2,3,0.28,0.30,0,0
12448838,50%,50%,,,10,13,2,3,8,5,14,9,305,318,2,2,3,4,5,3,1.58,2.18,0,1
12448841,55%,45%,,,14,10,3,2,4,2,15,18,382,316,4,0,5,1,8,5,1.19,1.62,0,1
12448840,66%,34%,,,18,9,1,2,12,1,14,15,529,289,5,3,5,4,1,2,1.47,2.15,1,1
12932081,,,,,,,,,,,,,,,,,,,1,2,,,0,0
12518422,60%,40%,1,2,15,14,6,3,5,3,15,14,376,263,12,12,13,15,2,1,,,,
12518425,49%,51%,4,0,9,13,6,2,4,3,16,10,356,372,28,21,10,16,3,0,,,,
12518416,43%,57%,1,1,15,4,0,3,2,2,13,20,270,357,15,10,19,11,2,2,,,,
12592422,,,,,,,,,,,,,,,,,,,1,4,,,0,1
