match_id,home_big_chances_scored,away_big_chances_scored,home_offsides,away_offsides,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_touches_in_penalty_area,away_touches_in_penalty_area,home_fouled_in_final_third,away_fouled_in_final_third
12904468,2,2,4,0,,,,,32,15,4,0
12904463,1,0,2,3,2,0,,,35,9,2,0
12773665,2,0,2,3,2,1,2,1,18,19,2,2
12773646,1,0,2,5,0,1,,,23,17,1,1
12773642,0,1,4,1,1,0,,,10,26,3,2
12791854,3,1,2,1,,,0,1,18,29,,
12773671,2,0,5,0,,,,,20,23,2,6
12791853,,,0,3,1,1,0,1,8,33,2,3
12773663,1,1,2,3,5,1,,,49,17,3,2
12773652,,,2,1,1,2,0,1,27,21,4,3
12924425,1,3,2,3,3,0,,,32,20,3,4
12924407,1,3,3,3,0,1,,,23,17,5,3
12924421,2,1,1,1,,,,,32,13,2,4
12924416,0,3,1,6,1,1,,,12,30,2,2
12924418,,,5,1,2,3,1,0,34,23,2,3
12924429,0,3,2,3,1,2,,,15,20,2,3
12924410,1,4,1,8,0,1,0,1,7,39,1,5
12924422,3,1,1,2,4,0,,,34,10,5,1
12924424,2,0,1,6,0,3,0,2,16,51,1,2
12924420,0,1,0,3,0,2,,,17,20,2,4
