match_id,home_total_tackles,away_total_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_clearances,away_clearances,home_tackles_won,away_tackles_won,home_errors_lead_to_a_shot,away_errors_lead_to_a_shot,home_errors_lead_to_a_goal,away_errors_lead_to_a_goal
12518425,28,21,7,7,51,46,21,17,68%,62%,,,,
12518416,15,10,7,13,32,38,14,11,73%,90%,,,,
13019039,17,12,12,9,59,56,21,21,65%,58%,,,,
12923109,11,13,9,9,50,43,7,14,73%,77%,,,,
12923104,20,14,11,10,53,49,18,15,60%,50%,,,,
12246983,8,1,12,9,,,12,5,,,10,3,,
12246985,3,1,18,8,,,7,12,,,,,,
12484257,2,1,32,18,,,29,10,,,3,2,,
12484258,2,2,17,7,,,11,13,,,2,6,,
12484255,5,3,19,17,,,13,16,,,,,,
12196916,7,1,22,23,,,21,24,,,3,2,,
12196973,2,4,23,19,,,6,23,,,3,2,,
12199061,0,5,21,15,,,10,32,,,1,3,,
12442133,4,3,14,15,,,12,22,,,1,8,,
12442134,4,5,14,10,,,20,25,,,2,3,,
12484433,1,0,10,10,,,17,1,,,1,1,,
12484437,0,3,14,15,,,17,13,,,3,4,,
13014309,16,11,8,7,36,32,24,9,50%,91%,,,,
13014303,11,15,4,9,33,34,20,13,45%,87%,,,,
12694137,4,0,9,14,,,13,13,,,,,,
12694134,3,4,11,9,,,4,10,,,,,,
12698547,5,2,13,2,,,34,9,,,,,,
12454752,2,3,15,10,,,19,14,,,2,3,,
12454757,3,2,15,23,,,16,21,,,3,1,,
12650088,7,10,5,5,56,47,8,16,71%,40%,,,,
13023005,13,20,7,7,51,59,14,8,62%,85%,,,,
13006575,22,21,12,15,60,53,19,36,41%,57%,,,,
12437611,20,18,12,6,51,56,32,13,50%,56%,,,,
12499348,16,12,8,5,49,52,18,23,56%,58%,,,,
12499354,15,19,7,5,37,38,18,23,53%,68%,,,,
12499355,25,19,6,10,45,32,8,31,68%,68%,,,,
12900855,22,19,12,8,46,53,15,28,68%,74%,,,,
12970179,18,12,16,6,35,46,29,2,61%,67%,,,,
12970160,21,17,11,6,53,41,18,16,67%,59%,,,,
12970153,27,19,13,13,53,72,38,8,74%,63%,,,,
12970192,29,19,11,8,47,55,17,28,69%,63%,,,,
12970193,9,4,3,7,25,44,25,10,78%,75%,,,,
12970166,24,14,9,5,48,57,14,5,63%,86%,,,,
12970187,12,16,15,9,48,54,9,12,58%,75%,,,,
12375376,13,16,5,7,52,50,12,74,62%,50%,,,,
12514057,20,16,5,6,52,59,14,10,70%,69%,,,,
12117282,14,21,10,8,40,45,8,26,57%,62%,,,,
12117278,27,23,18,8,57,53,12,16,85%,65%,,,,
12530874,12,18,11,10,45,39,13,36,75%,50%,,,,
12530880,24,16,9,5,49,46,26,22,83%,56%,,,,
12904468,11,9,6,5,40,29,5,21,36%,56%,,,,
12904463,9,17,2,10,51,38,9,34,78%,59%,,,,
12773665,16,16,6,13,52,54,22,12,75%,63%,,,,
12773646,24,19,7,8,56,54,35,23,71%,68%,,,,
12773642,12,13,19,16,49,54,16,7,58%,62%,,,,
12791854,13,15,15,12,64,60,24,10,46%,60%,,,,
12773671,25,14,10,10,47,45,28,11,44%,71%,,,,
12791853,15,19,9,4,40,40,34,21,80%,100%,,,,
12773663,16,18,9,11,47,50,15,17,56%,78%,,,,
12773652,18,22,10,6,58,62,23,17,78%,55%,,,,
12924425,18,35,18,8,72,67,17,31,72%,89%,,,,
12924407,5,2,2,7,35,39,8,22,60%,100%,,,,
12924421,17,23,7,18,43,48,19,25,100%,65%,,,,
12924416,25,17,10,6,44,57,24,11,72%,71%,,,1,1
12924418,23,15,10,6,45,48,23,11,70%,73%,,,,
12924429,16,14,9,15,38,57,17,11,50%,57%,,,,
12924410,12,16,12,7,53,66,25,17,50%,94%,,,,
12924422,18,19,10,7,53,45,9,33,56%,68%,,,,
12924424,22,20,14,6,44,49,43,14,64%,60%,,,,
12924420,18,15,4,4,48,46,19,12,67%,67%,,,,
11937364,15,13,5,13,60,60,30,29,73%,69%,,,,
11937363,19,16,12,8,56,60,17,35,68%,63%,,,,
13010885,16,23,8,10,47,45,16,22,50%,43%,,,,
13010890,16,12,4,7,45,44,11,33,31%,42%,,,,
13010881,12,13,2,9,54,55,21,38,75%,69%,,,,
13010887,10,14,8,10,44,53,16,27,50%,71%,1,2,,
12467664,8,10,7,11,28,32,20,25,88%,40%,,,,
12527741,17,7,6,7,47,40,23,32,65%,71%,,,,
12527866,22,17,14,10,33,34,28,14,50%,71%,,,,
12527868,15,19,8,9,43,46,25,25,60%,53%,,,,
12527870,23,17,9,10,44,49,22,31,52%,82%,,,,
12527872,24,16,11,5,53,44,15,30,42%,69%,,,,
12527873,15,8,9,4,33,33,17,27,73%,38%,,,,
12451237,17,13,11,6,47,46,22,14,71%,69%,3,1,,
12451239,19,15,16,12,52,56,18,19,79%,67%,,,,
12451236,10,11,7,7,40,51,19,17,100%,64%,,,,
12451241,16,12,11,11,67,60,38,11,75%,75%,,,,
12451240,29,12,6,21,57,47,14,19,76%,67%,,,,
12451242,20,16,11,13,44,46,15,13,55%,69%,,,,
12451244,11,13,12,6,51,52,35,8,73%,77%,,,,
12451245,25,7,11,6,53,49,19,16,80%,86%,,,,
12615585,17,19,17,7,53,53,32,19,59%,53%,,,,
12146528,13,13,5,4,40,34,23,13,85%,92%,,,,
12146523,11,19,9,7,50,51,25,15,82%,74%,,,,
12146524,8,8,6,8,39,42,21,15,63%,63%,,,,
12146527,12,11,6,8,37,38,11,28,92%,73%,,,,
12146520,17,14,11,7,53,49,11,13,71%,79%,,,,
12988222,8,9,2,2,41,43,5,29,88%,89%,,,,
12146521,11,11,7,12,38,48,15,19,82%,82%,,,,
12596617,13,16,6,12,56,52,12,30,69%,88%,,,,
12463967,24,23,7,12,54,53,24,11,67%,65%,,,,
12463970,16,26,11,12,42,45,7,27,50%,54%,,,,
13012918,13,16,5,9,49,42,6,21,85%,63%,,,,
13036742,10,16,4,3,32,38,17,16,80%,69%,,,,
13031655,8,5,10,6,42,25,20,16,88%,60%,,,,
13011717,9,12,7,10,40,41,6,20,78%,67%,,,,
12407827,11,14,12,8,60,49,38,12,36%,71%,,,,
12656652,20,15,11,10,57,54,16,23,80%,47%,,,,
12902951,11,21,13,9,51,41,18,38,64%,52%,,,,
